csize		stride		loadtime[ns]
1024		1		1.33108
1024		2		1.33285
1024		4		1.33613
1024		8		1.36066
1024		16		1.57561
1024		32		1.33888
1024		64		0.984329
1024		128		0.17879
1024		256		-0.0824628
1024		512		-0.0908664
2048		1		1.33706
2048		2		1.33001
2048		4		1.33504
2048		8		1.34168
2048		16		1.34566
2048		32		1.56183
2048		64		1.44649
2048		128		0.840028
2048		256		0.176373
2048		512		0
2048		1024		-0.0915128
4096		1		1.34635
4096		2		1.32552
4096		4		1.32692
4096		8		1.3319
4096		16		1.3419
4096		32		1.35457
4096		64		1.4012
4096		128		1.43693
4096		256		0.840283
4096		512		0.178106
4096		1024		-0.0822432
4096		2048		-0.0916101
8192		1		1.33864
8192		2		1.49445
8192		4		1.32496
8192		8		1.33136
8192		16		1.34827
8192		32		1.344
8192		64		1.36389
8192		128		1.39175
8192		256		1.43402
8192		512		0.828442
8192		1024		0.17913
8192		2048		-0.0818169
8192		4096		-0.0902761
16384		1		1.32396
16384		2		1.49007
16384		4		1.3263
16384		8		1.33078
16384		16		2.04749
16384		32		2.42477
16384		64		2.05415
16384		128		2.07206
16384		256		2.36478
16384		512		2.71613
16384		1024		2.11087
16384		2048		0.177834
16384		4096		-0.0817728
16384		8192		-0.0902472
32768		1		1.3238
32768		2		1.32437
32768		4		1.32618
32768		8		1.3296
32768		16		2.04611
32768		32		2.55049
32768		64		2.05876
32768		128		2.08114
32768		256		2.10121
32768		512		2.92148
32768		1024		2.71436
32768		2048		2.1096
32768		4096		0.176047
32768		8192		-0.0817515
32768		16384		-0.090223
65536		1		1.32661
65536		2		1.32996
65536		4		1.33698
65536		8		1.35334
65536		16		2.38945
65536		32		3.64011
65536		64		5.7936
65536		128		5.58344
65536		256		5.72648
65536		512		9.54727
65536		1024		8.83423
65536		2048		2.71338
65536		4096		2.10963
65536		8192		0.17713
65536		16384		-0.0817508
65536		32768		-0.0902006
131072		1		1.32931
131072		2		1.50221
131072		4		1.34762
131072		8		1.37786
131072		16		2.52743
131072		32		4.85595
131072		64		9.70879
131072		128		10.034
131072		256		11.987
131072		512		15.7995
131072		1024		16.5816
131072		2048		12.038
131072		4096		4.34657
131072		8192		3.25933
131072		16384		1.06012
131072		32768		-0.0817447
