thread_count[] array_size[] prefix_sum_time_parallel[s]
1 1000000000 6.30095
2 1000000000 4.97927
3 1000000002 4.72192
4 1000000000 4.39861
5 1000000000 3.94538
6 1000000002 3.75909
7 1000000001 3.53695
8 1000000000 3.45763
9 1000000008 3.4361
10 1000000000 3.46436
11 1000000001 3.47863
12 1000000008 3.45309
13 1000000001 3.45618
14 1000000008 3.48463
15 1000000005 3.45224
16 1000000000 3.44763
17 1000000010 3.47242
18 1000000008 3.50165
19 1000000001 3.49321
20 1000000000 3.48456
21 1000000008 3.48053
22 1000000012 3.46997
23 1000000003 3.46268
24 1000000008 3.46605
25 1000000000 3.46651
26 1000000014 3.46059
27 1000000026 3.46313
28 1000000008 3.53002
29 1000000011 3.47506
30 1000000020 3.48452
31 1000000015 3.48511
32 1000000000 3.44637
33 1000000023 3.48084
34 1000000010 3.47327
35 1000000015 3.5146
36 1000000008 3.50318
37 1000000036 3.48754
38 1000000020 3.45838
39 1000000014 3.49256
40 1000000000 3.48757
41 1000000004 3.48363
42 1000000008 3.50188
43 1000000002 3.52129
44 1000000012 3.49426
45 1000000035 3.47031
46 1000000026 3.48886
47 1000000012 3.47127
48 1000000032 3.49211
