thread_count[] array_size[] prefix_sum_time_parallel[s]
1 1000000000 9.05402
2 1000000000 4.60542
3 1000000002 3.16013
4 1000000000 2.40764
5 1000000000 1.954
6 1000000002 1.69667
7 1000000001 1.46281
8 1000000000 1.30858
9 1000000008 1.29497
10 1000000000 1.15865
11 1000000001 1.10235
12 1000000008 1.00148
13 1000000001 0.998348
14 1000000008 0.906076
15 1000000005 0.855908
16 1000000000 0.810524
17 1000000010 0.826881
18 1000000008 0.84383
19 1000000001 0.828735
20 1000000000 0.806413
21 1000000008 0.776149
22 1000000012 0.759783
23 1000000003 0.761937
24 1000000008 0.763989
25 1000000000 0.776706
26 1000000014 0.806267
27 1000000026 0.779703
28 1000000008 0.773938
29 1000000011 0.812395
30 1000000020 0.780529
31 1000000015 0.82845
32 1000000000 0.822389
33 1000000023 0.833119
34 1000000010 0.849375
35 1000000015 0.923882
36 1000000008 0.897379
37 1000000036 0.881074
38 1000000020 0.836225
39 1000000014 0.836204
40 1000000000 0.86474
41 1000000004 0.886467
42 1000000008 0.877803
43 1000000002 0.869934
44 1000000012 0.89899
45 1000000035 0.858249
46 1000000026 0.886306
47 1000000012 0.891344
48 1000000032 0.86239
