thread_count[] array_size[] prefix_sum_time_parallel[s]
1 1000000000 9.5193
2 1000000000 8.03741
3 1000000002 5.70203
4 1000000000 4.48352
5 1000000000 4.06352
6 1000000002 3.77577
7 1000000001 3.54958
8 1000000000 3.48522
9 1000000008 3.47074
10 1000000000 3.4798
11 1000000001 3.47038
12 1000000008 3.48555
13 1000000001 3.47466
14 1000000008 3.47154
15 1000000005 3.48428
16 1000000000 3.48607
17 1000000010 3.47819
18 1000000008 3.50358
19 1000000001 3.47851
20 1000000000 3.51581
21 1000000008 3.53271
22 1000000012 3.49347
23 1000000003 3.47425
24 1000000008 3.49189
25 1000000000 3.48631
26 1000000014 3.45217
27 1000000026 3.51736
28 1000000008 3.47153
29 1000000011 3.518
30 1000000020 3.52252
31 1000000015 3.47334
32 1000000000 3.49421
33 1000000023 3.49002
34 1000000010 3.47894
35 1000000015 3.4589
36 1000000008 3.49916
37 1000000036 3.52085
38 1000000020 3.4841
39 1000000014 3.50259
40 1000000000 3.47189
41 1000000004 3.50077
42 1000000008 3.48762
43 1000000002 3.50123
44 1000000012 3.49272
45 1000000035 3.49914
46 1000000026 3.47602
47 1000000012 3.47648
48 1000000032 3.51687
