thread_count[] array_size[] prefix_sum_time_parallel[s]
1 1000000000 9.08534
2 1000000000 7.95195
3 1000000002 5.6793
4 1000000000 4.46372
5 1000000000 4.06637
6 1000000002 3.79279
7 1000000001 3.59453
8 1000000000 3.48332
9 1000000008 3.47535
10 1000000000 3.49221
11 1000000001 3.50562
12 1000000008 3.46791
13 1000000001 3.47436
14 1000000008 3.47839
15 1000000005 3.47004
16 1000000000 3.47389
17 1000000010 3.49018
18 1000000008 3.46477
19 1000000001 3.47427
20 1000000000 3.48459
21 1000000008 3.5
22 1000000012 3.49961
23 1000000003 3.49941
24 1000000008 3.48242
25 1000000000 3.48077
26 1000000014 3.50254
27 1000000026 3.46331
28 1000000008 3.53862
29 1000000011 3.50333
30 1000000020 3.47607
31 1000000015 3.50201
32 1000000000 3.48938
33 1000000023 3.5097
34 1000000010 3.48758
35 1000000015 3.51834
36 1000000008 3.53172
37 1000000036 3.49823
38 1000000020 3.49646
39 1000000014 3.49583
40 1000000000 3.46399
41 1000000004 3.47882
42 1000000008 3.4771
43 1000000002 3.48333
44 1000000012 3.52051
45 1000000035 3.50688
46 1000000026 3.49125
47 1000000012 3.48278
48 1000000032 3.47335
