Operations;Threads;OpsPerSecond
100000;2;150592
100000;4;134057
100000;8;119305
100000;12;116030
100000;16;118022
100000;24;117305
100000;32;158214
100000;48;137395
500000;2;158204
500000;4;138502
500000;8;110234
500000;12;120349
500000;16;114038
500000;24;114062
500000;32;134205
500000;48;131943
1000000;2;155272
1000000;4;134060
1000000;8;116053
1000000;12;120113
1000000;16;114673
1000000;24;118350
1000000;32;159345
1000000;48;136938
5000000;2;158031
5000000;4;142993
5000000;8;115304
5000000;12;121423
5000000;16;112055
5000000;24;115111
5000000;32;144673
5000000;48;132596
10000000;2;151000
10000000;4;133047
10000000;8;115965
10000000;12;121004
10000000;16;114586
10000000;24;116503
10000000;32;182462
10000000;48;137002
25000000;2;153957
25000000;4;135952
25000000;8;114050
25000000;12;120942
25000000;16;111156
25000000;24;113472
25000000;32;169350
25000000;48;130464
50000000;2;144020
50000000;4;130367
50000000;8;113506
50000000;12;116036
50000000;16;111048
50000000;24;113002
50000000;32;138303
50000000;48;137535
