Operations Threads OpsPerSecond
100000 2 125839
100000 4 100340
100000 8 79364
100000 12 82496
100000 16 89293
100000 24 102436
100000 32 125024
100000 48 130626
500000 2 124058
500000 4 98405
500000 8 82749
500000 12 82963
500000 16 91342
500000 24 102736
500000 32 129356
500000 48 139604
1000000 2 124001
1000000 4 99969
1000000 8 83253
1000000 12 85234
1000000 16 87352
1000000 24 99903
1000000 32 123064
1000000 48 136073
5000000 2 121038
5000000 4 96845
5000000 8 82993
5000000 12 83007
5000000 16 90997
5000000 24 103021
5000000 32 129873
5000000 48 138925
10000000 2 123049
10000000 4 97307
10000000 8 78335
10000000 12 85020
10000000 16 87305
10000000 24 98264
10000000 32 121974
10000000 48 137952
25000000 2 123679
25000000 4 96358
25000000 8 78391
25000000 12 82035
25000000 16 87946
25000000 24 100463
25000000 32 129294
25000000 48 136937
50000000 2 121456
50000000 4 91634
50000000 8 74058
50000000 12 80040
50000000 16 85736
50000000 24 97356
50000000 32 125035
50000000 48 135058
